club_id,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_seats,stadium_name,last_season
11127,RU1,25,27.6,13,52,4,23000,Yekaterinburg Arena,2023
114,TR1,32,26.7,16,50,14,42590,Beşiktaş Park,2023
12,IT1,26,26.7,17,65.4,16,73261,Olimpico di Roma,2023
148,GB1,29,25.6,21,72.4,21,62062,Tottenham Hotspur Stadium,2023
157,BE1,25,25,13,52,8,19999,Ghelamco Arena,2023
1894,DK1,29,26.8,4,13.8,1,12000,PRO VENTILATION Arena,2023
190,DK1,27,25,14,51.9,9,38065,Parken,2023
192,NL1,25,24,9,36,0,19979,Parkstad Limburg Stadion,2017
19789,TR1,10,22.9,1,10,0,25745,Yeni Malatya Stadyumu,2021
2079,GR1,29,24.3,4,13.8,0,6350,Dimotiko Stadio Verias,2016
21957,GR1,0,,0,,0,3700,Dimotiko Gipedo Perivolia,2017
2414,DK1,19,25.1,9,47.4,4,10400,Nordstern Arena Horsens,2022
2457,PO1,25,24.2,13,52,4,37593,Estádio Nacional do Jamor,2021
2578,SC1,28,26.1,16,57.1,4,10696,McDiarmid Park,2023
2727,BE1,28,24.1,16,57.1,3,10020,King Power at Den Dreef Stadion,2023
28643,BE1,27,26.8,16,59.3,3,13290,Freethielstadion,2020
2990,PO1,26,25.2,6,23.1,0,29744,Estádio Cidade de Coimbra,2015
3057,BE1,28,23.7,17,60.7,10,27670,Maurice Dufrasne Stadion,2023
3690,RU1,27,25.7,4,14.8,0,15200,Lenin Stadion,2017
4795,L1,28,24.3,8,28.6,1,15800,Audi Sportpark,2016
511,SC1,24,25.3,13,54.2,3,11850,Kilmac Stadium at Dens Park,2023
5358,ES1,24,27.5,8,33.3,2,9128,El Alcoraz,2020
603,GB1,28,25.5,24,85.7,8,33280,Cardiff City Stadium,2018
60551,UKR1,26,26.5,4,15.4,4,31003,Dnipro-Arena,2023
6996,UKR1,0,,0,,0,10640,Avangard,2015
8024,PO1,28,25.2,21,75,1,5600,Estádio Municipal de Arouca,2023
868,TR1,28,26.6,17,60.7,5,20560,Eryaman Stadyumu,2023
903,SC1,24,26.8,19,79.2,5,20250,Easter Road Stadium,2023
969,FR1,24,25.4,12,50,6,32939,Stade de la Mosson,2023
989,GB1,28,25.9,19,67.9,13,11329,Vitality Stadium,2023
993,ES1,24,27.9,4,16.7,0,21822,Nuevo Arcángel,2014
1025,IT1,26,24.6,18,69.2,12,36462,Stadio Renato Dall’Ara,2023
1082,FR1,24,25.3,17,70.8,6,50186,Decathlon Arena-Stade Pierre-Mauroy,2023
1160,FR1,26,25.4,12,46.2,3,8033,Stade des Antonins,2020
11688,TR1,17,22.5,1,5.9,1,21500,Çotanak Spor Kompleksi,2022
124,SC1,29,27,21,72.4,8,50987,Ibrox Stadium,2023
1465,PO1,30,24.1,18,60,2,8000,Estádio António Coimbra da Mota,2023
2477,UKR1,0,,0,,0,28051,Stadion Ukraina,2019
2553,SC1,23,25.1,11,47.8,2,18128,"BBSP Stadium, Rugby Park",2023
2672,GR1,31,27.5,17,58.6,0,5915,Stadio Livadias,2022
2740,UKR1,25,24.2,8,32,2,23842,Vorskla im. Oleksiy Butovskyi,2023
3008,GB1,28,25,17,60.7,6,25586,MKM Stadium,2016
31,GB1,26,25.5,21,80.8,17,54074,Anfield,2023
336,PO1,27,24.4,13,48.1,8,50095,Estádio José Alvalade XXI,2023
3911,FR1,24,25.7,6,25,4,15220,Stade Francis-Le Blé,2023
4,L1,33,25.2,7,21.2,2,50000,Max-Morlock-Stadion,2018
410,IT1,36,24.3,31,86.1,8,25144,Bluenergy Stadium,2023
41231,RU1,26,26.3,10,38.5,2,45994,Fisht Olympic Stadium,2023
4128,RU1,26,26,0,,0,17000,Zvezda,2017
449,TR1,32,25.2,16,50,15,40782,Papara Park,2023
4603,GR1,28,24.2,6,21.4,0,13108,Stadio Alkazar,2020
55686,UKR1,29,25.7,3,10.3,0,4700,Livyi Bereg Arena,2023
566,BE1,0,,0,,0,12771,Olympisch Stadion,2012
595,FR1,25,27.6,8,32,6,16480,Stade Armand-Cesari,2016
6890,TR1,34,25.4,16,47.1,9,17156,Başakşehir Fatih Terim,2023
7185,GR1,29,24.3,3,10.3,0,5601,Stadio Komotinis OPAP,2015
83678,UKR1,25,26.1,7,28,0,10640,Avangard,2022
932,RU1,27,23.9,3,11.1,9,27084,RZD Arena,2023
1010,GB1,30,26.3,24,80,12,21577,Vicarage Road,2021
1108,ES1,23,25.1,9,39.1,3,19840,Mendizorroza,2023
1124,RU1,26,27.5,3,11.5,1,21793,Central Stadium of Profsoyuzes,2023
