competition_id,country_name
CIT,Italy
NLSC,Netherlands
GRP,Greece
POSU,Portugal
RUSS,Russia
SUC,Spain
USC,
DK1,Denmark
EL,
ES1,Spain
FR1,France
IT1,Italy
NL1,Netherlands
RUP,Russia
PO1,Portugal
BESC,Belgium
GB1,England
ELQ,
CGB,England
DKP,Denmark
ECLQ,
FAC,England
NLP,Netherlands
UKRS,Ukraine
UKR1,Ukraine
CDR,Spain
CL,
GR1,Greece
TR1,Turkey
POCP,Portugal
GBCS,England
KLUB,
L1,Germany
RU1,Russia
SC1,Scotland
SCI,Italy
BE1,Belgium
CLQ,
DFL,Germany
SFA,Scotland
UKRP,Ukraine
DFB,Germany
FRCH,France
