game_id,competition_id,season,round,date,aggregate,competition_type
2222627,RU1,2012,5. Matchday,20/08/12,0:02,domestic_league
2222658,RU1,2012,10. Matchday,30/09/12,0:02,domestic_league
2222664,RU1,2012,8. Matchday,15/09/12,1:00,domestic_league
2222683,RU1,2012,12. Matchday,22/10/12,0:01,domestic_league
2222685,RU1,2012,19. Matchday,10/12/12,0:01,domestic_league
2222734,RU1,2012,19. Matchday,07/12/12,2:03,domestic_league
2222735,RU1,2012,18. Matchday,02/12/12,2:00,domestic_league
2222739,RU1,2012,22. Matchday,31/03/13,4:00,domestic_league
2222775,RU1,2012,28. Matchday,12/05/13,1:00,domestic_league
2222802,RU1,2012,25. Matchday,21/04/13,3:03,domestic_league
2222816,RU1,2012,27. Matchday,05/05/13,2:00,domestic_league
2222958,UKR1,2012,1. Matchday,14/07/12,2:00,domestic_league
2222988,UKR1,2012,5. Matchday,12/08/12,4:01,domestic_league
2223015,UKR1,2012,8. Matchday,31/08/12,2:01,domestic_league
2223018,UKR1,2012,13. Matchday,27/10/12,1:01,domestic_league
2223025,UKR1,2012,9. Matchday,15/09/12,4:00,domestic_league
2223041,UKR1,2012,11. Matchday,06/10/12,0:03,domestic_league
2223051,UKR1,2012,12. Matchday,21/10/12,5:00,domestic_league
2223060,UKR1,2012,17. Matchday,26/11/12,3:00,domestic_league
2223083,UKR1,2012,14. Matchday,03/11/12,2:00,domestic_league
2223096,UKR1,2012,14. Matchday,03/11/12,2:00,domestic_league
2223111,UKR1,2012,21. Matchday,16/03/13,4:03,domestic_league
2223132,UKR1,2012,25. Matchday,20/04/13,2:01,domestic_league
2223137,UKR1,2012,24. Matchday,14/04/13,2:00,domestic_league
2223157,UKR1,2012,23. Matchday,07/04/13,0:02,domestic_league
2223162,UKR1,2012,30. Matchday,26/05/13,3:00,domestic_league
2223182,UKR1,2012,27. Matchday,04/05/13,0:04,domestic_league
2223859,FR1,2012,8. Matchday,06/10/12,2:00,domestic_league
2223876,FR1,2012,5. Matchday,16/09/12,0:01,domestic_league
2223890,FR1,2012,4. Matchday,02/09/12,1:02,domestic_league
2223894,FR1,2012,18. Matchday,16/12/12,1:00,domestic_league
2223902,FR1,2012,9. Matchday,20/10/12,2:01,domestic_league
2223905,FR1,2012,9. Matchday,19/10/12,1:01,domestic_league
2223921,FR1,2012,10. Matchday,28/10/12,3:01,domestic_league
