away_club_id,away_club_position,away_club_goals,away_club_manager_name,away_club_name,game_id
4128,10,2,Rustem Khuzin,Amkar Perm,2222627
121,13,2,Dan Petrescu,Dynamo Moscow,2222658
2698,8,0,Kurban Berdyev,Rubin Kazan,2222664
12438,16,1,Gadzhi Gadzhiev,Volga Nizhniy Novgorod (- 2016),2222683
232,5,1,Valeriy Karpin,Spartak Moscow,2222685
16704,10,3,Slavoljub Muslin,FK Krasnodar,2222734
2410,2,0,Leonid Slutski,CSKA Moscow,2222735
2700,3,0,Guus Hiddink,Anzhi Makhachkala ( -2022),2222739
2700,3,0,Guus Hiddink,Anzhi Makhachkala ( -2022),2222775
121,7,3,Dan Petrescu,Dynamo Moscow,2222802
12438,13,0,Yuriy Kalitvintsev,Volga Nizhniy Novgorod (- 2016),2222816
6993,13,0,Mykola Pavlov,FK Mariupol,2222958
2740,14,1,Vadym Yevtushenko,Vorskla Poltava,2222988
2227,14,1,Oleg Luzhnyi,SK Tavriya Simferopol ( - 2022),2223015
3592,12,1,Oleg Taran,Kryvbas Kryvyi Rig,2223018
2740,13,0,Sergiy Svystun,Vorskla Poltava,2223025
4482,8,3,Anatoliy Demyanenko,Volyn Lutsk,2223041
6994,16,0,Vitaliy Kvartsyanyi,Metalurg Zaporizhya (-2016),2223051
6994,16,0,Vitaliy Kvartsyanyi,Metalurg Zaporizhya (-2016),2223060
6414,4,0,Myron Markevych,Metalist Kharkiv (- 2016),2223083
6994,16,0,Vitaliy Kvartsyanyi,Metalurg Zaporizhya (-2016),2223096
2783,9,3,Yuriy Maksymov,Metalurg Donetsk (- 2015),2223111
6996,15,1,Oleksandr Sevidov,Goverla Uzhgorod (- 2016),2223132
6994,16,0,Sergiy Zaytsev,Metalurg Zaporizhya (-2016),2223137
6996,15,2,Oleksandr Sevidov,Goverla Uzhgorod (- 2016),2223157
6996,15,0,Oleksandr Sevidov,Goverla Uzhgorod (- 2016),2223162
2740,12,4,Sergiy Svystun,Vorskla Poltava,2223182
1147,14,0,Alex Dupont,AC Ajaccio,2223859
244,1,1,Ã‰lie Baup,Olympique Marseille,2223876
583,8,2,Carlo Ancelotti,Paris Saint-Germain,2223890
1041,2,0,RÃ©mi Garde,Olympique Lyon,2223894
969,16,1,RenÃ© Girard,Montpellier HSC,2223902
1082,11,1,Rudi Garcia,LOSC Lille,2223905
40,8,1,Francis Gillot,FC Girondins Bordeaux,2223921
1095,19,1,Jean-Marc Furlan,ESTAC Troyes,2223922
417,17,1,Claude Puel,OGC Nice,2223924
618,5,2,Christophe Galtier,AS Saint-Ã‰tienne,2223940
750,18,0,Eric HÃ©ly,FC Sochaux-MontbÃ©liard,2223981
1159,20,2,Jean Fernandez,AS Nancy-Lorraine,2223994
244,3,1,Ã‰lie Baup,Olympique Marseille,2223996
14171,17,0,Pascal Dupraz,Thonon Ã‰vian Grand GenÃ¨ve FC,2224022
595,12,2,FrÃ©dÃ©ric Hantz,SC Bastia,2224115
1159,18,2,Patrick Gabriel,AS Nancy-Lorraine,2224124
40,9,0,Francis Gillot,FC Girondins Bordeaux,2224129
1423,12,1,Daniel Sanchez,Valenciennes FC,2224143
969,8,1,RenÃ© Girard,Montpellier HSC,2224147
40,9,2,Francis Gillot,FC Girondins Bordeaux,2224158
273,10,2,FrÃ©dÃ©ric Antonetti,Stade Rennais FC,2224159
583,1,1,Carlo Ancelotti,Paris Saint-Germain,2224160
1041,3,1,RÃ©mi Garde,Olympique Lyon,2224180
190,1,2,Ariel Jacobs,FC Copenhagen,2224545
5817,1,2,Lars SÃ¶ndergaard,SÃ¶nderjyskE,2224572
1177,11,0,Keld Bordinggaard,Silkeborg IF,2224602
5817,10,0,Lars SÃ¶ndergaard,SÃ¶nderjyskE,2224628
206,12,3,Auri Skarbalius,BrÃ¶ndby IF,2224655
1053,3,0,Kent Nielsen,Aalborg BK,2224659
678,6,2,Peter SÃ¶rensen,Aarhus GF,2224709
173,5,1,Troels Bech,Odense Boldklub,2224716
678,8,1,Peter SÃ¶rensen,Aarhus GF,2224718
678,7,2,Peter SÃ¶rensen,Aarhus GF,2224727
173,5,1,Troels Bech,Odense Boldklub,2224729
5724,12,1,Colin Todd,Randers FC,2224732
1184,3,2,Mario Been,KRC Genk,2224833
566,15,1,Jacky Mathijssen,Beerschot AC,2224878
498,4,1,Peter Maes,KSC Lokeren (- 2020),2224892
58,1,2,John van den Brom,RSC Anderlecht,2224902
1071,9,2,Roberto MartÃ­nez,Wigan Athletic,2225446
984,6,0,Steve Clarke,West Bromwich Albion,2225468
2288,5,0,Michael Laudrup,Swansea City,2225471
931,12,0,Martin Jol,Fulham FC,2225473
1032,20,0,Brian McDermott,Reading FC,2225478
931,9,2,Martin Jol,Fulham FC,2225487
762,12,1,Alan Pardew,Newcastle United,2225502
31,14,1,Brendan Rodgers,Liverpool FC,2225524
281,3,0,Roberto Mancini,Manchester City,2225540
1032,19,0,Brian McDermott,Reading FC,2225555
631,3,3,Rafael BenÃ­tez,Chelsea FC,2225736
31,7,0,Brendan Rodgers,Liverpool FC,2225754
2288,9,2,Michael Laudrup,Swansea City,2225764
985,1,1,Sir Alex Ferguson,Manchester United,2225784
379,10,1,Sam Allardyce,West Ham United,2225787
2553,7,1,Kenny Shiels,Kilmarnock FC,2227459
2553,8,1,Kenny Shiels,Kilmarnock FC,2227462
2553,6,2,Kenny Shiels,Kilmarnock FC,2227478
2578,7,0,Steve Lomas,St. Johnstone FC,2227510
371,1,4,Neil Lennon,Celtic FC,2227522
2578,4,2,Steve Lomas,St. Johnstone FC,2227532
2553,7,2,Kenny Shiels,Kilmarnock FC,2227545
2578,5,0,Steve Lomas,St. Johnstone FC,2227553
