home_club_id,home_club_position,home_club_goals,home_club_manager_name,home_club_name,game_id
2696,11,0,Andrey Kobelev,Krylya Sovetov Samara,2222627
2410,2,0,Leonid Slutski,CSKA Moscow,2222658
932,5,1,Slaven Bilic,Lokomotiv Moscow,2222664
2696,11,0,Andrey Kobelev,Krylya Sovetov Samara,2222683
2698,7,0,Kurban Berdyev,Rubin Kazan,2222685
1083,11,2,Miodrag Bozovic,FK Rostov,2222734
2700,1,2,Guus Hiddink,Anzhi Makhachkala ( -2022),2222735
16704,8,4,Slavoljub Muslin,FK Krasnodar,2222739
3725,8,1,Stanislav Cherchesov,Akhmat Grozny,2222775
2700,3,3,Guus Hiddink,Anzhi Makhachkala ( -2022),2222802
16704,8,2,Slavoljub Muslin,FK Krasnodar,2222816
6414,3,2,Myron Markevych,Metalist Kharkiv (- 2016),2222958
660,1,4,Mircea Lucescu,Shakhtar Donetsk,2222988
6996,15,2,Oleksandr Sevidov,Goverla Uzhgorod (- 2016),2223015
6996,15,1,Oleksandr Sevidov,Goverla Uzhgorod (- 2016),2223018
6414,4,4,Myron Markevych,Metalist Kharkiv (- 2016),2223025
6994,16,0,Vitaliy Kvartsyanyi,Metalurg Zaporizhya (-2016),2223041
2740,10,5,Sergiy Svystun,Vorskla Poltava,2223051
339,2,3,Juande Ramos,Dnipro Dnipropetrovsk (-2020),2223060
339,2,2,Juande Ramos,Dnipro Dnipropetrovsk (-2020),2223083
660,1,2,Mircea Lucescu,Shakhtar Donetsk,2223096
2227,10,4,Oleg Luzhnyi,SK Tavriya Simferopol ( - 2022),2223111
2783,5,2,Yuriy Maksymov,Metalurg Donetsk (- 2015),2223132
6996,15,2,Oleksandr Sevidov,Goverla Uzhgorod (- 2016),2223137
2227,10,0,Oleg Luzhnyi,SK Tavriya Simferopol ( - 2022),2223157
2740,12,3,Sergiy Svystun,Vorskla Poltava,2223162
6994,16,0,Sergiy Zaytsev,Metalurg Zaporizhya (-2016),2223182
1082,10,2,Rudi Garcia,LOSC Lille,2223859
1159,17,0,Jean Fernandez,AS Nancy-Lorraine,2223876
1082,11,1,Rudi Garcia,LOSC Lille,2223890
583,1,1,Carlo Ancelotti,Paris Saint-Germain,2223894
273,9,2,FrÃ©dÃ©ric Antonetti,Stade Rennais FC,2223902
40,6,1,Francis Gillot,FC Girondins Bordeaux,2223905
595,11,3,FrÃ©dÃ©ric Hantz,SC Bastia,2223921
1421,7,1,Hubert Fournier,Stade Reims,2223922
969,13,3,RenÃ© Girard,Montpellier HSC,2223924
14171,18,2,Pascal Dupraz,Thonon Ã‰vian Grand GenÃ¨ve FC,2223940
1158,6,2,Christian Gourcuff,FC Lorient,2223981
595,13,4,FrÃ©dÃ©ric Hantz,SC Bastia,2223994
750,17,3,Eric HÃ©ly,FC Sochaux-MontbÃ©liard,2223996
1041,2,0,RÃ©mi Garde,Olympique Lyon,2224022
1159,19,1,Patrick Gabriel,AS Nancy-Lorraine,2224115
40,8,3,Francis Gillot,FC Girondins Bordeaux,2224124
618,5,0,Christophe Galtier,AS Saint-Ã‰tienne,2224129
1421,14,0,Hubert Fournier,Stade Reims,2224143
1147,15,2,Albert Emon,AC Ajaccio,2224147
750,18,2,Eric HÃ©ly,FC Sochaux-MontbÃ©liard,2224158
14171,16,4,Pascal Dupraz,Thonon Ã‰vian Grand GenÃ¨ve FC,2224159
1095,20,0,Jean-Marc Furlan,ESTAC Troyes,2224160
417,6,1,Claude Puel,OGC Nice,2224180
173,4,2,Troels Bech,Odense Boldklub,2224545
3426,12,1,Jess Thorup,Esbjerg fB,2224572
3426,10,1,Jess Thorup,Esbjerg fB,2224602
5724,3,2,Colin Todd,Randers FC,2224628
678,6,0,Peter SÃ¶rensen,Aarhus GF,2224655
190,1,4,Ariel Jacobs,FC Copenhagen,2224659
206,11,3,Auri Skarbalius,BrÃ¶ndby IF,2224709
190,1,1,Ariel Jacobs,FC Copenhagen,2224716
1177,12,3,Viggo Jensen,Silkeborg IF,2224718
865,6,3,Glen Riddersholm,FC Midtjylland,2224727
206,9,0,Auri Skarbalius,BrÃ¶ndby IF,2224729
5817,1,6,Lars SÃ¶ndergaard,SÃ¶nderjyskE,2224732
157,10,1,Bob Peeters,KAA Gent,2224833
2727,10,1,Ronny Van Geneugden,Oud-Heverlee Leuven,2224878
354,10,2,Harm van Veldhoven,KV Mechelen,2224892
498,4,0,Peter Maes,KSC Lokeren (- 2020),2224902
180,19,0,Nigel Adkins,Southampton FC,2225446
931,9,3,Martin Jol,Fulham FC,2225468
405,14,2,Paul Lambert,Aston Villa,2225471
379,7,3,Sam Allardyce,West Ham United,2225473
984,4,1,Steve Clarke,West Bromwich Albion,2225478
180,17,2,Nigel Adkins,Southampton FC,2225487
289,11,1,Martin O'Neill,Sunderland AFC,2225502
631,3,1,Roberto Di Matteo,Chelsea FC,2225524
379,9,0,Sam Allardyce,West Ham United,2225540
405,17,1,Paul Lambert,Aston Villa,2225555
931,11,0,Martin Jol,Fulham FC,2225736
1032,20,0,Nigel Adkins,Reading FC,2225754
1123,14,2,Chris Hughton,Norwich City,2225764
11,4,1,ArsÃ¨ne Wenger,Arsenal FC,2225784
281,2,2,Roberto Mancini,Manchester City,2225787
2578,2,2,Steve Lomas,St. Johnstone FC,2227459
903,3,2,Pat Fenlon,Hibernian FC,2227462
371,1,0,Neil Lennon,Celtic FC,2227478
370,5,2,Craig Brown,Aberdeen FC,2227510
43,9,0,John McGlynn,Heart of Midlothian FC,2227522
2553,8,1,Kenny Shiels,Kilmarnock FC,2227532
903,6,2,Pat Fenlon,Hibernian FC,2227545
2759,7,1,Derek Adams,Ross County FC,2227553
465,11,1,Danny Lennon,St. Mirren FC,2227586
40,4,1,Francis Gillot,FC Girondins Bordeaux,2229845
1411,1,5,Enzo Scifo,RAEC Mons (- 2015),2229914
24,3,1,Armin Veh,Eintracht Frankfurt,2231476
4,15,1,Dieter Hecking,1.FC Nuremberg,2231479
82,18,0,Felix Magath,VfL Wolfsburg,2231513
86,12,1,Thomas Schaaf,SV Werder Bremen,2231518
38,13,1,Norbert Meier,Fortuna DÃ¼sseldorf,2231534
60,5,3,Christian Streich,SC Freiburg,2231594
41,11,0,Thorsten Fink,Hamburger SV,2231642
18,7,1,Lucien Favre,Borussia MÃ¶nchengladbach,2231652
16,2,1,JÃ¼rgen Klopp,Borussia Dortmund,2231667
38,15,1,Norbert Meier,Fortuna DÃ¼sseldorf,2231669
294,2,2,Jorge Jesus,SL Benfica,2240053
2425,5,0,Nuno EspÃ­rito Santo,Rio Ave FC,2240084
2424,13,1,Paulo Alves,Gil Vicente FC,2240090
2420,9,2,Rui VitÃ³ria,VitÃ³ria GuimarÃ£es SC,2240196
714,17,1,Mauricio Pochettino,RCD Espanyol Barcelona,2242831
