player_id,position,sub_position
670,A,Left Winger
1323,D,Centre-Back
3195,A,Right Winger
3259,M,Right Midfield
3614,D,Right-Back
3804,G,Goalkeeper
4042,G,Goalkeeper
4112,M,Central Midfield
4133,M,Defensive Midfield
4219,M,Central Midfield
4360,A,Right Winger
4487,G,Goalkeeper
4740,D,Centre-Back
4750,A,Centre-Forward
4796,D,Centre-Back
4873,D,Centre-Back
5399,M,Attacking Midfield
5672,M,Central Midfield
5712,D,Left-Back
5768,M,Central Midfield
5870,M,Defensive Midfield
5925,D,Centre-Back
5936,G,Goalkeeper
5974,M,Defensive Midfield
6020,A,Centre-Forward
6065,D,Centre-Back
6150,D,Centre-Back
6288,A,Centre-Forward
6717,M,Central Midfield
7072,D,Left-Back
7501,M,Attacking Midfield
7739,M,Defensive Midfield
8187,A,Left Winger
8490,M,Defensive Midfield
8540,G,Goalkeeper
9239,A,Centre-Forward
9493,M,Central Midfield
9697,D,Centre-Back
9819,D,Centre-Back
9988,D,Centre-Back
13069,D,Centre-Back
13309,M,Left Midfield
13389,M,Defensive Midfield
13412,A,Centre-Forward
13490,M,Left Midfield
13849,A,Centre-Forward
13952,A,Centre-Forward
14069,A,Centre-Forward
14137,D,Right-Back
14221,A,Right Winger
14282,D,Centre-Back
14514,D,Right-Back
14542,M,Attacking Midfield
14735,A,Centre-Forward
14939,M,Central Midfield
15049,D,Centre-Back
15055,M,Central Midfield
15163,A,Centre-Forward
15486,A,Centre-Forward
15676,G,Goalkeeper
15803,M,Attacking Midfield
15817,G,Goalkeeper
16535,M,Central Midfield
16597,D,Centre-Back
16828,D,Centre-Back
17292,A,Centre-Forward
17348,G,Goalkeeper
17441,M,Defensive Midfield
17592,G,Goalkeeper
18021,D,Right-Back
18324,M,Central Midfield
18922,A,Centre-Forward
19045,D,Left-Back
19059,G,Goalkeeper
19342,G,Goalkeeper
20854,M,Right Midfield
20887,D,Left-Back
20913,D,Centre-Back
21039,M,Right Midfield
21415,M,Central Midfield
21480,D,Left-Back
21495,G,Goalkeeper
21590,D,Centre-Back
21988,D,Centre-Back
22053,M,Attacking Midfield
22395,M,
22489,A,Centre-Forward
22516,D,Centre-Back
22860,G,Goalkeeper
22995,M,Central Midfield
23102,A,Centre-Forward
23141,A,Centre-Forward
23365,A,Centre-Forward
23888,M,Central Midfield
24043,M,Attacking Midfield
24131,G,Goalkeeper
24975,M,Central Midfield
24994,G,Goalkeeper
25106,D,Left-Back
25523,M,Defensive Midfield
25921,M,Central Midfield
26229,G,Goalkeeper
27494,M,Defensive Midfield
27611,M,Attacking Midfield
27613,D,Centre-Back
27644,A,Left Winger
27941,G,Goalkeeper
28023,G,Goalkeeper
28817,D,Right-Back
28850,A,Centre-Forward
29178,A,Centre-Forward
29366,A,Centre-Forward
29424,A,Centre-Forward
29494,D,Left-Back
29594,A,Centre-Forward
29962,M,Central Midfield
29997,D,Left-Back
30321,M,Attacking Midfield
30333,D,Right-Back
30476,M,Defensive Midfield
30553,D,Centre-Back
31579,A,Right Winger
31741,M,Defensive Midfield
32567,M,Attacking Midfield
32568,D,Centre-Back
33046,M,Defensive Midfield
33065,M,Central Midfield
33357,D,Centre-Back
33448,M,Left Midfield
33478,M,Defensive Midfield
33735,G,Goalkeeper
33848,D,Centre-Back
33925,G,Goalkeeper
33950,M,Defensive Midfield
34158,D,Left-Back
35099,A,Centre-Forward
35435,A,Centre-Forward
35493,M,Defensive Midfield
35743,A,Centre-Forward
35872,M,Attacking Midfield
36211,G,Goalkeeper
36593,D,Centre-Back
36758,G,Goalkeeper
36898,G,Goalkeeper
36939,A,Left Winger
37301,D,Right-Back
37399,A,Centre-Forward
37722,D,Centre-Back
37918,M,Attacking Midfield
38005,D,Centre-Back
38100,D,Centre-Back
38473,D,Right-Back
38780,M,Defensive Midfield
38801,A,Centre-Forward
39118,G,Goalkeeper
39426,M,Attacking Midfield
39522,A,Centre-Forward
39732,G,Goalkeeper
39828,M,Central Midfield
39874,G,Goalkeeper
39907,M,Defensive Midfield
40204,G,Goalkeeper
40421,M,Attacking Midfield
42373,G,Goalkeeper
42531,G,Goalkeeper
42631,G,Goalkeeper
42667,D,Centre-Back
42731,A,Left Winger
42938,A,Centre-Forward
42989,D,Centre-Back
43003,D,Left-Back
43060,A,Centre-Forward
43076,D,Centre-Back
43085,M,Central Midfield
43206,A,Second Striker
43250,D,Centre-Back
43364,M,Central Midfield
43742,M,Attacking Midfield
43858,G,Goalkeeper
43982,A,Centre-Forward
44060,M,Left Midfield
44062,G,Goalkeeper
44402,M,Defensive Midfield
44607,G,Goalkeeper
44778,M,Attacking Midfield
44794,M,Central Midfield
45314,D,Centre-Back
45320,A,Right Winger
45372,G,Goalkeeper
45376,M,Defensive Midfield
45389,A,Centre-Forward
45403,A,Left Winger
45567,A,Right Winger
45594,M,Defensive Midfield
45655,D,Right-Back
45865,A,Centre-Forward
45881,A,Centre-Forward
45912,G,Goalkeeper
45986,A,Centre-Forward
46060,A,Centre-Forward
